Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Duke Houston,3023,15.0,Carly Bae,378,337.0,PO,322.0,B5,1,0,0,7,-0.17%,0.17%,0,0,29,3,1,CWS,PHI,PO,PO,K,,,,,1
Hannah Outlaw,178,431.0,Carly Bae,378,515.0,1B,84.0,B5,2,0,0,7,0.09%,-0.09%,0,0,29,3,1,CWS,PHI,1B,1B,1B,,,,,1
3PieceMcNuggets,3121,222.0,Carly Bae,378,313.0,1B,91.0,B5,2,1,0,7,0.11%,-0.11%,0,0,29,3,1,CWS,PHI,1B,1B,1B,,,,,1
Scooter Buskie,3140,651.0,Miguel Snow Jr,290,706.0,2B,55.0,T1,0,0,0,0,6.33%,-6.33%,0,1,30,4,1,ANA,LAD,2B,2B,2B,,,,,1
jorjor wel,3217,27.0,Miguel Snow Jr,290,970.0,2B,57.0,T1,0,2,0,0,10.70%,-10.70%,1,1,30,4,1,ANA,LAD,2B,2B,2B,,290.0,,,1
Ryan McBryan,2880,490.0,Miguel Snow Jr,290,679.0,FO,189.0,T1,0,2,0,1,-3.76%,3.76%,0,0,30,4,1,ANA,LAD,FO,FO,FO,,,,,1
Greggy Gabagool,3237,241.0,Miguel Snow Jr,290,452.0,FO,211.0,T1,1,2,0,1,-3.12%,3.12%,0,0,30,4,1,ANA,LAD,FO,FO,FO,,,,,1
Ferris Wheeler,2816,975.0,Miguel Snow Jr,290,880.0,1B,95.0,T1,2,2,0,1,9.79%,-9.79%,1,0,30,4,1,ANA,LAD,1B,1B,1B,,290.0,,,1
Ferris Wheeler,2816,200.0,Miguel Snow Jr,290,652.0,CS,452.0,T1,2,1,0,2,-2.66%,2.66%,0,0,30,4,1,ANA,LAD,CS 2B,CS 2B,CS,,,,,4
Tuck,163,724.0,Jay Kwellon,3228,472.0,FO,252.0,B1,0,0,0,2,-2.74%,2.74%,0,0,31,4,1,LAD,ANA,FO,FO,FO,,,,,1
John Applebees,3026,133.0,Jay Kwellon,3228,247.0,1B,114.0,B1,1,0,0,2,2.83%,-2.83%,0,0,31,4,1,LAD,ANA,1B,1B,1B,,,,,1
Johnny Dickshot,233,724.0,Jay Kwellon,3228,301.0,DP,423.0,B1,1,1,0,2,-6.75%,6.75%,0,0,31,4,1,LAD,ANA,RGO,RGO,DP,,,,,1
Shag McBenny,3002,777.0,Miguel Snow Jr,290,437.0,PO,340.0,T2,0,0,0,2,-1.70%,1.70%,0,0,32,4,1,ANA,LAD,PO,PO,K,,,,,1
Anthony Barkevious IV,2640,237.0,Miguel Snow Jr,290,47.0,FO,190.0,T2,1,0,0,2,-1.52%,1.52%,0,0,32,4,1,ANA,LAD,FO,FO,FO,,,,,1
Deacon Bowles,3111,710.0,Miguel Snow Jr,290,127.0,RGO,417.0,T2,2,0,0,2,-1.37%,1.37%,0,0,32,4,1,ANA,LAD,RGO,RGO,RGO,,,,,1
Robert Glasses,2664,114.0,Jay Kwellon,3228,686.0,RGO,428.0,B2,0,0,0,2,-2.94%,2.94%,0,0,33,4,1,LAD,ANA,RGO,RGO,RGO,,,,,1
Jorbel Boykins,2847,666.0,Jay Kwellon,3228,414.0,FO,252.0,B2,1,0,0,2,-2.53%,2.53%,0,0,33,4,1,LAD,ANA,FO,FO,FO,,,,,1
Jocko Jones,295,420.0,Jay Kwellon,3228,346.0,1B,74.0,B2,2,0,0,2,2.19%,-2.19%,0,0,33,4,1,LAD,ANA,1B,1B,1B,,,,,1
Bo-Horse Jackman,168,450.0,Jay Kwellon,3228,870.0,RGO,420.0,B2,2,1,0,2,-4.11%,4.11%,0,0,33,4,1,LAD,ANA,RGO,RGO,RGO,,,,,1
Jimmy Haase,1826,889.0,Miguel Snow Jr,290,216.0,PO,327.0,T3,0,0,0,2,-1.72%,1.72%,0,0,34,4,1,ANA,LAD,PO,PO,K,,,,,1
Enrique Rosales,2734,801.0,Dill Doe,2735,538.0,K,263.0,T3,1,0,0,2,-1.56%,1.56%,0,0,34,4,1,ANA,LAD,K,K,FO,,,,,1
jorjor wel,3217,267.0,Dill Doe,2735,891.0,PO,376.0,T3,2,0,0,2,-1.30%,1.30%,0,0,34,4,1,ANA,LAD,PO,RGO,K,,,,,1
Tomothy Toledo,3106,245.0,Jay Kwellon,3228,546.0,FO,301.0,B3,0,0,0,2,-3.28%,3.28%,0,0,35,4,1,LAD,ANA,FO,FO,K,,,,,1
Friday,2826,672.0,Jay Kwellon,3228,733.0,2B,61.0,B3,1,0,0,2,6.21%,-6.21%,0,0,35,4,1,LAD,ANA,2B,2B,2B,,,,,1
Tuck,163,803.0,Jay Kwellon,3228,12.0,FO,209.0,B3,1,2,0,2,-5.10%,5.10%,0,0,35,4,1,LAD,ANA,FO,FO,FO,,,,,1
John Applebees,3026,133.0,Jay Kwellon,3228,654.0,LGO,479.0,B3,2,2,0,2,-5.96%,5.96%,0,0,35,4,1,LAD,ANA,LGO,LGO,LGO,,,,,1
Ryan McBryan,2880,520.0,Dill Doe,2735,328.0,FO,192.0,T4,0,0,0,2,-1.53%,1.53%,0,0,36,4,1,ANA,LAD,FO,FO,FO,,,,,1
Greggy Gabagool,3237,328.0,Dill Doe,2735,711.0,RGO,383.0,T4,1,0,0,2,-1.44%,1.44%,0,0,36,4,1,ANA,LAD,RGO,RGO,PO,,,,,1
Ferris Wheeler,2816,613.0,Dill Doe,2735,310.0,K,303.0,T4,2,0,0,2,-1.26%,1.26%,0,0,36,4,1,ANA,LAD,K,K,K,,,,,1
Johnny Dickshot,233,563.0,Jay Kwellon,3228,732.0,FO,169.0,B4,0,0,0,2,-3.76%,3.76%,0,0,37,4,1,LAD,ANA,FO,FO,BB,,,,,1
LeeLoo Dallas Multi-Guess,3244,48.0,Jay Kwellon,3228,211.0,BB,163.0,B4,1,0,0,2,4.19%,-4.19%,0,1,37,4,1,LAD,ANA,BB,FO,BB,,,,,1
Jorbel Boykins,2847,666.0,Jay Kwellon,3228,952.0,FO,286.0,B4,1,1,0,2,-4.18%,4.18%,0,0,37,4,1,LAD,ANA,FO,K,K,,,,,1
Jocko Jones,295,240.0,Jay Kwellon,3228,286.0,2B,46.0,B4,2,1,0,2,15.75%,-15.75%,1,1,37,4,1,LAD,ANA,2B,2B,2B,,,3228.0,,1
Bo-Horse Jackman,168,819.0,Jay Kwellon,3228,920.0,1B,101.0,B4,2,2,1,2,19.59%,-19.59%,1,0,37,4,1,LAD,ANA,1B,1B,1B,,3228.0,,,1
Tomothy Toledo,3106,421.0,Jay Kwellon,3228,747.0,FO,326.0,B4,2,1,2,2,-5.52%,5.52%,0,0,37,4,1,LAD,ANA,FO,FO,K,,,,,1
Shag McBenny,3002,390.0,Serengeti Fingers,2989,498.0,1B,108.0,T5,0,0,2,2,4.12%,-4.12%,0,1,38,4,1,ANA,LAD,1B,1B,1B,,,,,1
Anthony Barkevious IV,2640,758.0,Serengeti Fingers,2989,998.0,K,240.0,T5,0,1,2,2,-4.96%,4.96%,0,0,38,4,1,ANA,LAD,K,K,FO,,,,,1
Deacon Bowles,3111,585.0,Serengeti Fingers,2989,998.0,PO,413.0,T5,1,1,2,2,-4.01%,4.01%,0,0,38,4,1,ANA,LAD,PO,PO,DP,,,,,1
Jimmy Haase,1826,267.0,Serengeti Fingers,2989,240.0,3B,27.0,T5,2,1,2,2,26.42%,-26.42%,1,1,38,4,1,ANA,LAD,3B,3B,3B,,,2989.0,,1
Enrique Rosales,2734,619.0,Serengeti Fingers,2989,511.0,1B,108.0,T5,2,3,2,3,12.07%,-12.07%,1,0,38,4,1,ANA,LAD,1B,1B,1B,2989.0,,,,1
jorjor wel,3217,398.0,Serengeti Fingers,2989,188.0,FO,210.0,T5,2,1,2,4,-2.09%,2.09%,0,0,38,4,1,ANA,LAD,FO,FO,FO,,,,,1
Friday,2826,555.0,Tanzig Nordic,2991,284.0,K,271.0,B5,0,0,2,4,-4.27%,4.27%,0,0,39,4,1,LAD,ANA,K,K,FO,,,,,1
Tuck,163,430.0,Tanzig Nordic,2991,173.0,FO,257.0,B5,1,0,2,4,-3.45%,3.45%,0,0,39,4,1,LAD,ANA,FO,FO,FO,,,,,1
John Applebees,3026,333.0,Tanzig Nordic,2991,888.0,RGO,445.0,B5,2,0,2,4,-2.42%,2.42%,0,0,39,4,1,LAD,ANA,RGO,RGO,RGO,,,,,1
