Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Morris Deratt,104,123.0,Hudson Quin,58,420.0,K,297.0,B3,1,0,3,2,-1.80%,1.80%,0,0,154,13,3,DET,NYM,K,K,,1
Merodach Baladan,100,517.0,Hudson Quin,58,725.0,FO,208.0,B3,2,0,3,2,-1.62%,1.62%,0,0,154,13,3,DET,NYM,FO,FO,,1
Hudson Quin,58,666.0,Big Tuna,2091,865.0,FO,199.0,T4,0,0,3,2,-3.96%,3.96%,0,0,155,13,3,NYM,DET,FO,FO,,1
Mongster Mash,344,900.0,Big Tuna,2091,420.0,LGO,480.0,T4,1,0,3,2,-3.37%,3.37%,0,0,155,13,3,NYM,DET,LGO,LGO,,1
Pip Squires,2060,322.0,Big Tuna,2091,69.0,FO,253.0,T4,2,0,3,2,-2.78%,2.78%,0,0,155,13,3,NYM,DET,FO,FO,,1
Mason Spurs,103,,Hudson Quin,58,12.0,K,,B4,0,0,3,2,-1.87%,1.87%,0,0,156,13,3,DET,NYM,K,K,,1
Sevag Vapor,106,333.0,Hudson Quin,58,967.0,K,366.0,B4,1,0,3,2,-1.74%,1.74%,0,0,156,13,3,DET,NYM,K,K,,1
Lightning Balls,350,677.0,Hudson Quin,58,713.0,2B,36.0,B4,2,0,3,2,2.65%,-2.65%,0,1,156,13,3,DET,NYM,2B,2B,,1
Big Tuna,2091,212.0,Hudson Quin,58,317.0,1B,105.0,B4,2,2,3,2,9.62%,-9.62%,1,0,156,13,3,DET,NYM,1B,1B,,1
BB Bambino Jr.,115,771.0,Hudson Quin,58,979.0,FO,208.0,B4,2,1,4,2,-1.66%,1.66%,0,0,156,13,3,DET,NYM,FO,FO,,1
Red Trapper,453,257.0,Big Tuna,2091,982.0,FO,275.0,T5,0,0,4,2,-3.57%,3.57%,0,0,157,13,3,NYM,DET,FO,FO,,1
Trey Paste,2037,633.0,Big Tuna,2091,543.0,1B,90.0,T5,1,0,4,2,4.25%,-4.25%,0,0,157,13,3,NYM,DET,1B,1B,,1
Bix Kayne,3287,545.0,Big Tuna,2091,12.0,DP,467.0,T5,1,1,4,2,-9.00%,9.00%,0,0,157,13,3,NYM,DET,LGO,LGO,,1
Casey Nine,101,87.0,Hudson Quin,58,502.0,LGO,415.0,B5,0,0,4,2,-0.67%,0.67%,0,0,158,13,3,DET,NYM,LGO,LGO,,1
King Fielder,222,839.0,Hudson Quin,58,910.0,1B,71.0,B5,1,0,4,2,0.55%,-0.55%,0,1,158,13,3,DET,NYM,1B,1B,,1
Morris Deratt,104,383.0,Hudson Quin,58,223.0,BB,160.0,B5,1,1,4,2,0.86%,-0.86%,0,1,158,13,3,DET,NYM,BB,BB,,1
Merodach Baladan,100,111.0,Hudson Quin,58,138.0,3B,27.0,B5,1,4,4,2,4.94%,-4.94%,2,1,158,13,3,DET,NYM,3B,3B,,1
Mason Spurs,103,,Hudson Quin,58,742.0,LGO,,B5,1,3,6,2,-0.48%,0.48%,0,0,158,13,3,DET,NYM,LGO,LGO,,2
Sevag Vapor,106,433.0,Hudson Quin,58,512.0,1B,79.0,B5,2,3,6,2,0.73%,-0.73%,1,0,158,13,3,DET,NYM,1B,1B,,1
Lightning Balls,350,313.0,Hudson Quin,58,230.0,1B,83.0,B5,2,1,7,2,0.11%,-0.11%,0,0,158,13,3,DET,NYM,1B,1B,,1
Big Tuna,2091,720.0,Hudson Quin,58,979.0,FO,259.0,B5,2,5,7,2,-0.18%,0.18%,0,0,158,13,3,DET,NYM,FO,FO,,1
Chocolate Smegma,2107,501.0,Big Tuna,2091,989.0,LGO,488.0,T6,0,0,7,2,-0.40%,0.40%,0,0,159,13,3,NYM,DET,LGO,LGO,,1
Xavier Crowbar,2006,110.0,Big Tuna,2091,276.0,FO,166.0,T6,1,0,7,2,-0.22%,0.22%,0,0,159,13,3,NYM,DET,FO,FO,,1
Master Cashier,93,606.0,Big Tuna,2091,36.0,LGO,430.0,T6,2,0,7,2,-0.06%,0.06%,0,0,159,13,3,NYM,DET,LGO,LGO,,1
C.W. Mitzel,2127,622.0,Einhorn,74,262.0,K,360.0,T1,0,0,0,0,-2.51%,2.51%,0,0,160,14,3,MIN,ARI,K,K,,1
Mike Cal,2126,158.0,Einhorn,74,523.0,K,365.0,T1,1,0,0,0,-2.18%,2.18%,0,0,160,14,3,MIN,ARI,K,K,,1
Victor Justice,410,312.0,Einhorn,74,923.0,K,389.0,T1,2,0,0,0,-1.76%,1.76%,0,0,160,14,3,MIN,ARI,K,K,,1
Rico Veringhipster,2014,725.0,Sonny Streaker,2065,763.0,2B,38.0,B1,0,0,0,0,6.33%,-6.33%,0,1,161,14,3,ARI,MIN,2B,2B,,1
Brent Royal,2078,632.0,Sonny Streaker,2065,977.0,K,345.0,B1,0,2,0,0,-4.08%,4.08%,0,0,161,14,3,ARI,MIN,K,K,,1
Will Power,8,355.0,Sonny Streaker,2065,322.0,2B,33.0,B1,1,2,0,0,11.27%,-11.27%,1,1,161,14,3,ARI,MIN,2B,2B,,1
Assassin Panda,15,488.0,Sonny Streaker,2065,775.0,K,287.0,B1,1,2,1,0,-2.93%,2.93%,0,0,161,14,3,ARI,MIN,K,K,,1
Garren Smudge,133,42.0,Sonny Streaker,2065,113.0,1B,71.0,B1,2,2,1,0,9.16%,-9.16%,1,0,161,14,3,ARI,MIN,1B,1B,,1
S.K. Brettbug,2015,200.0,Sonny Streaker,2065,887.0,K,313.0,B1,2,1,2,0,-2.36%,2.36%,0,0,161,14,3,ARI,MIN,K,K,,1
Tater Tits,4,640.0,Einhorn,74,613.0,2B,27.0,T2,0,0,2,0,7.01%,-7.01%,0,1,162,14,3,MIN,ARI,2B,2B,,1
Twinkie Power,2128,864.0,Einhorn,74,639.0,FO,225.0,T2,0,2,2,0,-4.54%,4.54%,0,0,162,14,3,MIN,ARI,FO,FO,,1
Shiny Tenson,2124,414.0,Einhorn,74,415.0,HR,1.0,T2,1,2,2,0,18.64%,-18.64%,2,1,162,14,3,MIN,ARI,HR,HR,,1
Dark Bobman,359,780.0,Einhorn,74,876.0,1B,96.0,T2,1,0,2,2,2.57%,-2.57%,0,0,162,14,3,MIN,ARI,1B,1B,,1
"Jake ""JP"" Panik",267,105.0,Einhorn,74,927.0,FO,178.0,T2,1,1,2,2,-2.82%,2.82%,0,0,162,14,3,MIN,ARI,FO,FO,,1
Sonny Streaker,2065,326.0,Einhorn,74,813.0,LGO,487.0,T2,2,1,2,2,-4.14%,4.14%,0,0,162,14,3,MIN,ARI,LGO,LGO,,1
