G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,380.0,0.0,0.0,-1.0577683615819211,-0.0827,0,1,BN,S1,23,TOR,False,TOR,-0.09860183615819211
7,21,19,2,2,1,1,0,0,3,2,1,0,2,0,0,0,0,1,1,0,3,13,0,0,0.10526315789473684,0.14285714285714285,0.15789473684210525,0.3007518796992481,0.05263157894736842,0.1111111111111111,,0.0,0.09523809523809523,0.047619047619047616,0.2222222222222222,0.7777777777777778,0.2857142857142857,261.04761904761904,0.14285714285714285,0.15789473684210525,-3.3826742150066202,-0.22139999999999999,4,14,BC,S1,37,WAS,False,WAS,-0.262929921500662
1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,,327.6666666666667,0.3333333333333333,0.0,-1.1452006346466375,-0.25270000000000004,2,0,BC,S1,39,HOU,False,HOU,-0.10375756346466374
7,19,17,8,7,4,2,0,2,16,7,2,0,1,1,0,0,0,0,1,0,4,3,1,0,0.47058823529411764,0.5263157894736842,0.9411764705882353,1.4674922600619196,0.47058823529411764,0.42857142857142855,,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.5555555555555556,0.4444444444444444,1.25,196.44444444444446,0.5263157894736842,0.9411764705882353,2.2972505429704144,0.3197,5,4,BC,S1,47,PHI,False,PHI,0.29788755429704145
5,14,14,3,1,0,3,0,0,6,1,0,0,3,0,0,0,0,0,3,0,4,4,0,0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.6428571428571428,0.21428571428571427,0.2727272727272727,,0.0,0.21428571428571427,0.0,0.6363636363636364,0.36363636363636365,1.75,273.35714285714283,0.21428571428571427,0.42857142857142855,-4.062908330836555,-0.02659999999999997,7,4,BN,S1,51,2TM,False,TOR,-0.35606583308365547
4,11,11,1,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,2,0,3,4,0,0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.125,,0.0,0.2727272727272727,0.0,0.5555555555555556,0.4444444444444444,1.25,300.27272727272725,0.09090909090909091,0.18181818181818182,-4.639382171461339,-0.14149999999999996,5,4,BN,S1,51,ATL,True,ATL,-0.4244757171461339
1,3,3,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,,0.0,0.0,0.0,1.0,0.0,,174.66666666666666,0.6666666666666666,1.3333333333333333,0.5764738406247845,0.11489999999999999,2,0,BN,S1,51,TOR,True,TOR,0.06840988406247844
7,19,18,3,2,2,0,0,1,6,2,1,0,3,0,0,0,0,0,1,0,6,3,3,0,0.16666666666666666,0.21052631578947367,0.3333333333333333,0.5438596491228069,0.16666666666666666,0.14285714285714285,,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.5384615384615384,0.46153846153846156,1.1666666666666667,303.1578947368421,0.21052631578947367,0.3333333333333333,-3.7155403708069397,-0.38630000000000003,7,6,BC,S1,56,TOR,False,TOR,-0.303391537080694
4,9,8,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,0.125,0.2222222222222222,0.125,0.3472222222222222,0.0,0.14285714285714285,,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.8333333333333334,0.2,238.22222222222223,0.2222222222222222,0.125,-1.3979790117938784,-0.18719999999999998,1,5,BP,S1,58,2TM,False,MIN,-0.10751040117938784
3,7,6,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,0.0,0.2,,0.0,0.14285714285714285,0.14285714285714285,0.25,0.75,0.3333333333333333,233.42857142857142,0.2857142857142857,0.16666666666666666,-1.0010753116293085,-0.15349999999999997,1,3,BP,S1,58,NYM,True,NYM,-0.07499503116293085
