G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
12,38,33,11,5,7,2,0,2,19,7,1,0,5,0,3,1,0,4,2,3,5,11,2,0,0.3333333333333333,0.3157894736842105,0.5757575757575758,0.8915470494417863,0.2424242424242425,0.3,0.75,0.05263157894736842,0.13157894736842105,0.02631578947368421,0.37037037037037035,0.6296296296296297,0.5882352941176471,238.61904761904762,0.3157894736842105,0.5333333333333333,-2.7377205316494324,-0.3766,10,17,BC,38.0,30.0,7.0,16,5.0,3.0,0.0,S6,308,PIT,False,PIT,-0.1233254449731029
15,41,35,11,5,6,3,1,1,19,2,6,0,4,0,2,3,0,0,1,3,7,7,3,0,0.3142857142857143,0.4146341463414634,0.5428571428571428,0.9574912891986063,0.22857142857142854,0.3333333333333333,0.4,0.024390243902439025,0.0975609756097561,0.14634146341463414,0.5238095238095238,0.47619047619047616,1.1,251.15217391304347,0.3902439024390244,0.5142857142857142,-2.262580251188234,-0.14130000000000004,11,10,BN,41.0,35.0,10.0,18,6.0,0.0,0.0,S6,309,PIT,False,PIT,-0.06393405312236408
14,34,27,6,4,1,3,1,1,14,2,7,0,10,0,0,0,0,0,1,1,2,4,4,0,0.2222222222222222,0.38235294117647056,0.5185185185185185,0.900871459694989,0.2962962962962963,0.3125,,0.029411764705882353,0.29411764705882354,0.20588235294117646,0.3333333333333333,0.6666666666666666,0.5,233.61764705882354,0.3235294117647059,0.5172413793103449,-0.8516684190856062,-0.024699999999999993,4,8,WC,34.0,29.0,6.0,15,5.0,0.0,0.0,S6,310,TBR,False,TBR,0.049443281210454416
11,26,24,10,4,4,4,0,2,20,3,2,0,5,0,0,1,0,0,2,4,1,3,1,0,0.4166666666666667,0.46153846153846156,0.8333333333333334,1.294871794871795,0.4166666666666667,0.47058823529411764,0.0,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.6363636363636364,0.36363636363636365,1.75,232.88888888888889,0.46153846153846156,0.782608695652174,-0.2173163610959868,0.033399999999999985,7,4,BN,26.0,23.0,9.0,18,3.0,0.0,0.0,S6,314,PIT,False,PIT,0.08120551686376576
5,13,12,4,2,2,1,1,0,7,1,1,0,0,0,0,0,0,0,2,1,2,5,0,0,0.3333333333333333,0.38461538461538464,0.5833333333333334,0.9679487179487181,0.25000000000000006,0.3333333333333333,,0.0,0.0,0.07692307692307693,0.5,0.5,1.0,229.46153846153845,0.38461538461538464,0.5833333333333334,-0.15673854987466063,0.0508,5,5,S,13.0,12.0,4.0,7,1.0,0.0,0.0,S6,315,TOR,False,TOR,0.035794721499216156
12,33,31,10,4,6,3,0,1,16,2,2,0,4,0,0,0,0,0,0,3,2,5,7,0,0.3225806451612903,0.36363636363636365,0.5161290322580645,0.8797653958944281,0.1935483870967742,0.34615384615384615,,0.030303030303030304,0.12121212121212122,0.06060606060606061,0.29411764705882354,0.7058823529411765,0.4166666666666667,233.12121212121212,0.3333333333333333,0.4482758620689655,-0.7939661923124997,0.13549999999999998,5,12,SF,33.0,29.0,7.0,13,4.0,0.0,0.0,S6,323,CIN,False,CIN,0.051254382619558746
10,26,25,6,1,3,2,1,0,10,3,1,0,5,0,0,0,0,0,1,5,8,1,0,0,0.24,0.2692307692307692,0.4,0.6692307692307693,0.16000000000000003,0.3,,0.0,0.19230769230769232,0.038461538461538464,0.9333333333333333,0.06666666666666667,14.0,311.0,0.23076923076923078,0.375,-4.670337920625837,-0.23320000000000005,14,1,BC,26.0,24.0,5.0,9,1.0,1.0,0.0,S6,324,SDP,False,SDP,-0.36409663908921924
14,43,34,12,8,8,2,0,2,20,4,9,0,4,0,2,2,0,0,0,1,1,10,6,0,0.35294117647058826,0.4883720930232558,0.5882352941176471,1.076607387140903,0.23529411764705882,0.35714285714285715,0.5,0.046511627906976744,0.09302325581395349,0.20930232558139536,0.1111111111111111,0.8888888888888888,0.125,211.10638297872342,0.46511627906976744,0.5882352941176471,1.2232286843476432,-0.0595,2,16,WC,43.0,34.0,11.0,20,9.0,0.0,0.0,S6,327,TBR,False,TBR,0.2925650829676363
8,23,21,6,4,2,4,0,0,10,3,2,0,2,0,1,0,0,0,0,1,2,7,3,0,0.2857142857142857,0.34782608695652173,0.47619047619047616,0.8240165631469979,0.19047619047619047,0.3157894736842105,1.0,0.0,0.08695652173913043,0.08695652173913043,0.23076923076923078,0.7692307692307693,0.3,226.43478260869566,0.30434782608695654,0.47619047619047616,-1.596054056312632,-0.038500000000000006,3,10,BC,23.0,21.0,5.0,10,2.0,0.0,0.0,S6,329,SDP,False,SDP,-0.06854561646251774
10,15,15,7,4,2,2,1,2,17,3,0,0,3,0,1,2,0,0,1,2,2,1,0,0,0.4666666666666667,0.4666666666666667,1.1333333333333333,1.6,0.6666666666666666,0.5,0.3333333333333333,0.13333333333333333,0.2,0.0,0.8333333333333334,0.16666666666666666,5.0,253.33333333333334,0.4666666666666667,1.1333333333333333,1.042872916430417,0.030900000000000018,5,1,SM,15.0,15.0,7.0,17,0.0,0.0,0.0,S6,331,SDP,False,SDP,0.16367411066613657
